"shapeid","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
"9.0","102","HKG","Hong Kong","10","Sham Shui Po","HK.SS","0","NULL","District","District","NULL","NULL"
"10.0","102","HKG","Hong Kong","11","Southern","HK.SO","0","NULL","District","District","NULL","NULL"
"10.1","102","HKG","Hong Kong","11","Southern","HK.SO","0","NULL","District","District","NULL","NULL"
"10.2","102","HKG","Hong Kong","11","Southern","HK.SO","0","NULL","District","District","NULL","NULL"
"10.3","102","HKG","Hong Kong","11","Southern","HK.SO","0","NULL","District","District","NULL","NULL"
"10.4","102","HKG","Hong Kong","11","Southern","HK.SO","0","NULL","District","District","NULL","NULL"
"11.0","102","HKG","Hong Kong","12","Tai Po","HK.TP","0","NULL","District","District","NULL","NULL"
"11.1","102","HKG","Hong Kong","12","Tai Po","HK.TP","0","NULL","District","District","NULL","NULL"
"11.2","102","HKG","Hong Kong","12","Tai Po","HK.TP","0","NULL","District","District","NULL","NULL"
"11.3","102","HKG","Hong Kong","12","Tai Po","HK.TP","0","NULL","District","District","NULL","NULL"
"11.4","102","HKG","Hong Kong","12","Tai Po","HK.TP","0","NULL","District","District","NULL","NULL"
"11.5","102","HKG","Hong Kong","12","Tai Po","HK.TP","0","NULL","District","District","NULL","NULL"
"11.6","102","HKG","Hong Kong","12","Tai Po","HK.TP","0","NULL","District","District","NULL","NULL"
"11.7","102","HKG","Hong Kong","12","Tai Po","HK.TP","0","NULL","District","District","NULL","NULL"
"11.8","102","HKG","Hong Kong","12","Tai Po","HK.TP","0","NULL","District","District","NULL","NULL"
"11.9","102","HKG","Hong Kong","12","Tai Po","HK.TP","0","NULL","District","District","NULL","NULL"
"12.0","102","HKG","Hong Kong","13","Tsuen Wan","HK.TW","0","NULL","District","District","NULL","NULL"
"12.1","102","HKG","Hong Kong","13","Tsuen Wan","HK.TW","0","NULL","District","District","NULL","NULL"
"12.2","102","HKG","Hong Kong","13","Tsuen Wan","HK.TW","0","NULL","District","District","NULL","NULL"
"12.3","102","HKG","Hong Kong","13","Tsuen Wan","HK.TW","0","NULL","District","District","NULL","NULL"
"13.0","102","HKG","Hong Kong","14","Tuen Mun","HK.TM","0","NULL","District","District","NULL","NULL"
"13.1","102","HKG","Hong Kong","14","Tuen Mun","HK.TM","0","NULL","District","District","NULL","NULL"
"13.2","102","HKG","Hong Kong","14","Tuen Mun","HK.TM","0","NULL","District","District","NULL","NULL"
"13.3","102","HKG","Hong Kong","14","Tuen Mun","HK.TM","0","NULL","District","District","NULL","NULL"
"13.4","102","HKG","Hong Kong","14","Tuen Mun","HK.TM","0","NULL","District","District","NULL","NULL"
"13.5","102","HKG","Hong Kong","14","Tuen Mun","HK.TM","0","NULL","District","District","NULL","NULL"
"13.6","102","HKG","Hong Kong","14","Tuen Mun","HK.TM","0","NULL","District","District","NULL","NULL"
"14.0","102","HKG","Hong Kong","15","Wan Chai","HK.WC","0","NULL","District","District","NULL","NULL"
"15.0","102","HKG","Hong Kong","16","Wong Tai Sin","HK.WT","0","NULL","District","District","NULL","NULL"
"16.0","102","HKG","Hong Kong","17","Yau Tsim Mong","HK.YT","0","NULL","District","District","NULL","NULL"
"17.0","102","HKG","Hong Kong","18","Yuen Long","HK.YL","0","NULL","District","District","NULL","NULL"
